class,policy,reward,seed,stage,win,turns,hp,max_hp,hp_spent,hp_restored,cards_drawn,casts,deck_size,timeout
night,planner,skip,10009,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10009,2,1,3,7,22,13,6,0,6,20,0
night,planner,skip,10009,3,0,3,0,22,13,6,0,6,20,0
night,planner,skip,10009,4,1,4,16,22,9,34,4,8,20,0
night,planner,skip,10010,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10010,1,1,2,14,22,7,6,0,4,20,0
night,planner,skip,10010,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10010,3,1,4,16,22,10,22,0,8,20,0
night,planner,skip,10010,4,1,4,19,22,5,36,6,8,20,0
night,planner,skip,10011,0,1,2,22,22,0,0,0,3,20,0
night,planner,skip,10011,1,1,2,7,22,10,2,0,4,20,0
night,planner,skip,10011,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10011,3,1,4,22,22,6,28,0,8,20,0
night,planner,skip,10011,4,0,3,0,22,9,11,0,5,20,0
night,planner,skip,10012,0,1,2,19,22,3,0,0,3,20,0
night,planner,skip,10012,1,1,2,10,22,9,4,4,4,20,0
night,planner,skip,10012,2,1,4,13,22,8,15,0,7,20,0
night,planner,skip,10012,3,1,4,17,22,10,23,0,8,20,0
night,planner,skip,10012,4,1,4,22,22,10,27,12,8,20,0
night,planner,skip,10013,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10013,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10013,2,1,3,10,22,10,14,0,5,20,0
night,planner,skip,10013,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10013,4,1,5,19,22,8,43,10,10,20,0
night,planner,skip,10014,0,1,2,21,22,3,4,0,3,20,0
night,planner,skip,10014,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10014,2,1,3,21,22,10,17,0,6,20,0
night,planner,skip,10014,3,0,3,0,22,13,6,0,6,20,0
night,planner,skip,10014,4,1,5,18,22,6,40,0,9,20,0
night,planner,skip,10015,0,1,2,22,22,3,3,0,4,20,0
night,planner,skip,10015,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10015,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10015,3,1,4,16,22,10,22,0,8,20,0
night,planner,skip,10015,4,1,4,16,22,10,29,10,7,20,0
night,planner,skip,10016,0,1,2,22,22,3,5,0,3,20,0
night,planner,skip,10016,1,1,2,9,22,6,0,0,4,20,0
night,planner,skip,10016,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10016,3,1,4,17,22,10,23,0,8,20,0
night,planner,skip,10016,4,0,3,0,22,11,17,6,6,20,0
night,planner,skip,10017,0,1,2,22,22,0,2,0,3,20,0
night,planner,skip,10017,1,1,2,13,22,7,5,0,4,20,0
night,planner,skip,10017,2,0,2,0,22,10,3,0,4,20,0
night,planner,skip,10017,3,1,4,19,22,7,22,0,8,20,0
night,planner,skip,10017,4,1,4,14,22,8,34,6,8,20,0
night,planner,skip,10018,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10018,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10018,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10018,3,1,4,20,22,7,25,0,8,20,0
night,planner,skip,10018,4,1,5,22,22,6,42,0,9,20,0
night,planner,skip,10019,0,1,2,22,22,0,0,0,3,20,0
night,planner,skip,10019,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10019,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10019,3,1,4,10,22,10,16,0,8,20,0
night,planner,skip,10019,4,1,4,22,22,11,31,10,8,20,0
night,planner,skip,10020,0,1,2,22,22,0,0,0,4,20,0
night,planner,skip,10020,1,1,2,7,22,10,2,0,4,20,0
night,planner,skip,10020,2,1,4,17,22,7,18,0,7,20,0
night,planner,skip,10020,3,1,4,10,22,10,16,0,8,20,0
night,planner,skip,10020,4,0,3,0,22,10,17,0,6,20,0
night,planner,skip,10021,0,1,2,22,22,3,3,0,4,20,0
night,planner,skip,10021,1,1,2,7,22,10,2,0,4,20,0
night,planner,skip,10021,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10021,3,1,4,14,22,10,22,0,8,20,0
night,planner,skip,10021,4,1,5,17,22,9,40,6,10,20,0
night,planner,skip,10022,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10022,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10022,2,1,4,17,22,7,18,0,7,20,0
night,planner,skip,10022,3,1,4,14,22,10,22,0,8,20,0
night,planner,skip,10022,4,1,4,13,22,8,33,6,8,20,0
night,planner,skip,10023,0,1,2,22,22,0,0,0,4,20,0
night,planner,skip,10023,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10023,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10023,3,1,4,9,22,10,23,0,8,20,0
night,planner,skip,10023,4,0,4,0,22,14,19,4,8,20,0
night,planner,skip,10024,0,1,2,13,22,6,1,0,3,20,0
night,planner,skip,10024,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10024,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10024,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10024,4,1,4,11,22,6,29,4,8,20,0
night,planner,skip,10025,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10025,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10025,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10025,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10025,4,1,5,18,22,7,41,10,10,20,0
night,planner,skip,10026,0,1,2,18,22,6,2,0,3,20,0
night,planner,skip,10026,1,1,2,8,22,10,3,0,4,20,0
night,planner,skip,10026,2,1,4,11,22,10,15,0,7,20,0
night,planner,skip,10026,3,1,4,9,22,10,23,0,8,20,0
night,planner,skip,10026,4,1,5,19,22,10,43,10,10,20,0
night,planner,skip,10027,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10027,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10027,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10027,3,1,4,20,22,7,25,0,8,20,0
night,planner,skip,10027,4,1,5,16,22,8,33,6,9,20,0
night,planner,skip,10028,0,1,2,19,22,3,0,0,3,20,0
night,planner,skip,10028,1,1,2,13,22,7,5,0,4,20,0
night,planner,skip,10028,2,1,3,18,22,7,19,0,6,20,0
night,planner,skip,10028,3,1,4,10,22,10,22,0,8,20,0
night,planner,skip,10028,4,1,4,16,22,12,31,10,8,20,0
night,planner,skip,10029,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10029,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10029,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10029,3,1,4,18,22,10,22,0,8,20,0
night,planner,skip,10029,4,1,4,22,22,12,32,6,8,20,0
night,planner,skip,10030,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10030,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10030,2,1,4,13,22,8,15,0,7,20,0
night,planner,skip,10030,3,1,4,19,22,7,22,0,8,20,0
night,planner,skip,10030,4,1,5,17,22,8,39,6,9,20,0
night,planner,skip,10031,0,1,2,22,22,0,0,0,3,20,0
night,planner,skip,10031,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10031,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10031,3,1,4,7,22,13,18,0,8,20,0
night,planner,skip,10031,4,1,5,20,22,9,45,6,10,20,0
night,planner,skip,10032,0,1,2,16,22,6,0,4,4,20,0
night,planner,skip,10032,1,1,2,14,22,7,5,0,4,20,0
night,planner,skip,10032,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10032,3,0,3,0,22,13,14,0,6,20,0
night,planner,skip,10032,4,1,4,9,22,11,32,6,8,20,0
night,planner,skip,10033,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10033,1,1,2,13,22,7,5,0,4,20,0
night,planner,skip,10033,2,1,4,14,22,8,16,0,7,20,0
night,planner,skip,10033,3,1,4,22,22,7,25,0,8,20,0
night,planner,skip,10033,4,1,4,18,22,12,31,6,8,20,0
night,planner,skip,10034,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10034,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10034,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10034,3,1,4,9,22,13,18,0,8,20,0
night,planner,skip,10034,4,1,4,12,22,11,35,6,8,20,0
night,planner,skip,10035,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10035,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10035,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10035,3,1,4,20,22,7,25,0,8,20,0
night,planner,skip,10035,4,1,4,7,22,15,24,6,8,20,0
night,planner,skip,10036,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10036,1,1,2,14,22,7,6,0,4,20,0
night,planner,skip,10036,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10036,3,1,4,10,22,10,18,0,8,20,0
night,planner,skip,10036,4,1,5,15,22,8,33,6,9,20,0
night,planner,skip,10037,0,1,2,22,22,0,0,0,4,20,0
night,planner,skip,10037,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10037,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10037,3,1,4,16,22,11,21,0,8,20,0
night,planner,skip,10037,4,1,4,17,22,11,32,10,8,20,0
night,planner,skip,10038,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10038,1,1,2,14,22,7,6,0,4,20,0
night,planner,skip,10038,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10038,3,1,4,9,22,13,18,0,8,20,0
night,planner,skip,10038,4,1,5,19,22,9,38,6,10,20,0
night,planner,skip,10039,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10039,1,1,2,16,22,3,4,0,4,20,0
night,planner,skip,10039,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10039,3,1,4,17,22,10,21,0,8,20,0
night,planner,skip,10039,4,1,5,16,22,8,40,8,10,20,0
night,planner,skip,10040,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10040,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10040,2,1,4,10,22,10,14,0,7,20,0
night,planner,skip,10040,3,1,4,13,22,10,23,0,8,20,0
night,planner,skip,10040,4,1,4,15,22,11,29,6,8,20,0
night,planner,skip,10041,0,1,2,21,22,3,4,0,3,20,0
night,planner,skip,10041,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10041,2,1,4,11,22,7,12,0,7,20,0
night,planner,skip,10041,3,1,4,17,22,10,23,0,8,20,0
night,planner,skip,10041,4,1,4,17,22,15,25,6,8,20,0
night,planner,skip,10042,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10042,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10042,2,1,3,18,22,8,12,0,6,20,0
night,planner,skip,10042,3,1,4,13,22,10,21,0,8,20,0
night,planner,skip,10042,4,0,3,0,22,11,14,6,6,20,0
night,planner,skip,10043,0,1,2,18,22,6,2,0,3,20,0
night,planner,skip,10043,1,1,2,15,22,6,6,0,4,20,0
night,planner,skip,10043,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10043,3,1,4,14,22,10,22,0,8,20,0
night,planner,skip,10043,4,1,4,16,22,11,32,6,8,20,0
night,planner,skip,10044,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10044,1,1,2,13,22,7,4,0,4,20,0
night,planner,skip,10044,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10044,3,1,4,17,22,7,22,0,8,20,0
night,planner,skip,10044,4,1,4,16,22,12,30,6,8,20,0
night,planner,skip,10045,0,1,2,22,22,0,2,0,3,20,0
night,planner,skip,10045,1,1,2,19,22,7,6,0,4,20,0
night,planner,skip,10045,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10045,3,1,4,18,22,10,22,0,8,20,0
night,planner,skip,10045,4,0,4,0,22,11,25,8,8,20,0
night,planner,skip,10046,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10046,1,1,2,14,22,7,6,0,4,20,0
night,planner,skip,10046,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10046,3,1,4,17,22,9,24,0,8,20,0
night,planner,skip,10046,4,1,5,15,22,11,40,8,10,20,0
night,planner,skip,10047,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10047,1,1,2,22,22,4,6,0,4,20,0
night,planner,skip,10047,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10047,3,1,5,13,22,6,33,0,9,20,0
night,planner,skip,10047,4,1,5,22,22,7,43,10,10,20,0
night,planner,skip,10048,0,1,2,22,22,0,0,0,3,20,0
night,planner,skip,10048,1,1,2,5,22,10,0,0,3,20,0
night,planner,skip,10048,2,1,3,17,22,9,12,0,6,20,0
night,planner,skip,10048,3,1,4,17,22,10,23,0,8,20,0
night,planner,skip,10048,4,1,5,20,22,8,36,4,10,20,0
night,planner,skip,10049,0,1,2,22,22,0,0,0,4,20,0
night,planner,skip,10049,1,1,2,22,22,4,6,0,4,20,0
night,planner,skip,10049,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10049,3,1,4,9,22,10,23,0,8,20,0
night,planner,skip,10049,4,1,5,21,22,9,41,14,10,20,0
night,planner,skip,10050,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10050,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10050,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10050,3,1,4,10,22,10,18,0,8,20,0
night,planner,skip,10050,4,1,4,22,22,10,32,4,8,20,0
night,planner,skip,10051,0,1,2,22,22,0,0,0,3,20,0
night,planner,skip,10051,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10051,2,1,3,12,22,10,16,0,6,20,0
night,planner,skip,10051,3,1,4,10,22,10,18,0,8,20,0
night,planner,skip,10051,4,0,2,0,22,10,3,0,4,20,0
night,planner,skip,10052,0,1,2,22,22,3,3,0,4,20,0
night,planner,skip,10052,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10052,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10052,3,1,4,17,22,7,24,0,8,20,0
night,planner,skip,10052,4,1,4,22,22,8,31,6,8,20,0
night,planner,skip,10053,0,1,2,20,22,0,2,0,3,20,0
night,planner,skip,10053,1,1,2,14,22,7,6,0,4,20,0
night,planner,skip,10053,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10053,3,1,4,20,22,7,25,0,8,20,0
night,planner,skip,10053,4,1,5,22,22,8,44,6,10,20,0
night,planner,skip,10054,0,1,2,22,22,0,0,0,4,20,0
night,planner,skip,10054,1,1,2,14,22,6,0,0,4,20,0
night,planner,skip,10054,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10054,3,1,4,4,22,13,15,0,8,20,0
night,planner,skip,10054,4,1,5,13,22,6,35,0,9,20,0
night,planner,skip,10055,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10055,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10055,2,1,4,14,22,8,16,0,7,20,0
night,planner,skip,10055,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10055,4,1,5,19,22,7,40,4,10,20,0
night,planner,skip,10056,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10056,1,1,2,22,22,4,6,0,4,20,0
night,planner,skip,10056,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10056,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10056,4,1,4,16,22,11,32,6,8,20,0
night,planner,skip,10057,0,1,2,22,22,3,3,0,4,20,0
night,planner,skip,10057,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10057,2,0,2,0,22,10,2,0,4,20,0
night,planner,skip,10057,3,1,4,22,22,7,25,0,8,20,0
night,planner,skip,10057,4,1,5,13,22,8,31,4,9,20,0
night,planner,skip,10058,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10058,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10058,2,1,3,21,22,10,17,0,6,20,0
night,planner,skip,10058,3,1,4,21,22,7,26,0,8,20,0
night,planner,skip,10058,4,1,5,15,22,11,40,4,10,20,0
night,planner,skip,10059,0,1,2,22,22,3,3,0,4,20,0
night,planner,skip,10059,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10059,2,1,3,9,22,14,9,0,6,20,0
night,planner,skip,10059,3,1,4,5,22,13,18,0,8,20,0
night,planner,skip,10059,4,1,5,9,22,8,32,4,9,20,0
night,planner,skip,10060,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10060,1,1,2,10,22,9,4,4,4,20,0
night,planner,skip,10060,2,1,4,17,22,7,18,0,7,20,0
night,planner,skip,10060,3,1,4,17,22,7,22,0,8,20,0
night,planner,skip,10060,4,1,4,9,22,10,26,0,7,20,0
night,planner,skip,10061,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10061,1,1,2,15,22,6,6,0,4,20,0
night,planner,skip,10061,2,1,4,13,22,8,15,0,7,20,0
night,planner,skip,10061,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10061,4,1,4,16,22,14,32,12,8,20,0
night,planner,skip,10062,0,1,2,17,22,5,0,4,4,20,0
night,planner,skip,10062,1,1,2,15,22,6,6,0,4,20,0
night,planner,skip,10062,2,1,3,12,22,10,16,0,6,20,0
night,planner,skip,10062,3,1,5,12,22,6,30,0,9,20,0
night,planner,skip,10062,4,1,5,22,22,9,43,6,10,20,0
night,planner,skip,10063,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10063,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10063,2,1,4,13,22,8,15,0,7,20,0
night,planner,skip,10063,3,1,4,19,22,7,26,0,8,20,0
night,planner,skip,10063,4,0,2,0,22,11,8,6,4,20,0
night,planner,skip,10064,0,1,2,19,22,3,0,0,3,20,0
night,planner,skip,10064,1,1,2,13,22,7,4,0,4,20,0
night,planner,skip,10064,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10064,3,1,4,17,22,7,20,0,8,20,0
night,planner,skip,10064,4,1,4,18,22,13,29,12,7,20,0
night,planner,skip,10065,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10065,1,1,2,14,22,7,6,0,4,20,0
night,planner,skip,10065,2,1,4,3,22,13,10,0,7,20,0
night,planner,skip,10065,3,0,3,0,22,10,11,0,6,20,0
night,planner,skip,10065,4,1,5,21,22,9,41,6,10,20,0
night,planner,skip,10066,0,1,2,22,22,3,3,0,4,20,0
night,planner,skip,10066,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10066,2,1,4,17,22,7,18,0,7,20,0
night,planner,skip,10066,3,1,4,22,22,7,23,0,8,20,0
night,planner,skip,10066,4,1,5,17,22,8,39,6,9,20,0
night,planner,skip,10067,0,1,2,22,22,0,0,0,4,20,0
night,planner,skip,10067,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10067,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10067,3,1,4,7,22,13,18,0,8,20,0
night,planner,skip,10067,4,1,4,22,22,9,32,6,8,20,0
night,planner,skip,10068,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10068,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10068,2,0,2,0,22,12,0,0,4,20,0
night,planner,skip,10068,3,1,4,16,22,7,27,0,8,20,0
night,planner,skip,10068,4,1,4,16,22,10,28,10,7,20,0
night,planner,skip,10069,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10069,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10069,2,1,3,9,22,14,9,0,6,20,0
night,planner,skip,10069,3,1,4,17,22,10,23,0,8,20,0
night,planner,skip,10069,4,1,5,21,22,6,36,0,9,20,0
night,planner,skip,10070,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10070,1,1,2,8,22,10,3,0,4,20,0
night,planner,skip,10070,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10070,3,1,4,13,22,10,23,0,8,20,0
night,planner,skip,10070,4,1,4,22,22,5,35,6,8,20,0
night,planner,skip,10071,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10071,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10071,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10071,3,1,4,17,22,7,20,0,8,20,0
night,planner,skip,10071,4,1,4,18,22,12,33,6,8,20,0
night,planner,skip,10072,0,1,2,22,22,0,0,0,4,20,0
night,planner,skip,10072,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10072,2,1,3,9,22,14,9,0,6,20,0
night,planner,skip,10072,3,1,4,8,22,13,15,0,8,20,0
night,planner,skip,10072,4,1,5,22,22,3,39,0,9,20,0
night,planner,skip,10073,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10073,1,1,2,15,22,6,6,0,4,20,0
night,planner,skip,10073,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10073,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10073,4,0,3,0,22,15,13,6,6,20,0
night,planner,skip,10074,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10074,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10074,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10074,3,1,4,11,22,10,23,0,8,20,0
night,planner,skip,10074,4,1,5,19,22,8,41,6,10,20,0
night,planner,skip,10075,0,1,2,22,22,3,3,0,4,20,0
night,planner,skip,10075,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10075,2,0,2,0,22,10,2,0,4,20,0
night,planner,skip,10075,3,1,4,16,22,10,22,0,8,20,0
night,planner,skip,10075,4,0,3,0,22,10,22,12,6,20,0
night,planner,skip,10076,0,1,2,21,22,3,4,0,3,20,0
night,planner,skip,10076,1,1,2,13,22,7,5,0,4,20,0
night,planner,skip,10076,2,1,4,7,22,11,12,0,7,20,0
night,planner,skip,10076,3,1,4,22,22,6,22,0,8,20,0
night,planner,skip,10076,4,1,5,4,22,12,30,4,9,20,0
night,planner,skip,10077,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10077,1,1,2,10,22,9,4,4,4,20,0
night,planner,skip,10077,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10077,3,1,4,22,22,6,26,0,8,20,0
night,planner,skip,10077,4,1,5,16,22,7,39,8,10,20,0
night,planner,skip,10078,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10078,1,1,2,12,22,7,4,0,4,20,0
night,planner,skip,10078,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10078,3,1,4,10,22,10,16,0,8,20,0
night,planner,skip,10078,4,1,5,15,22,6,35,0,9,20,0
night,planner,skip,10079,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10079,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10079,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10079,3,1,4,22,22,6,28,0,8,20,0
night,planner,skip,10079,4,1,4,19,22,11,28,6,8,20,0
night,planner,skip,10080,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10080,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10080,2,1,3,15,22,11,12,0,6,20,0
night,planner,skip,10080,3,0,4,0,22,6,18,0,8,20,0
night,planner,skip,10080,4,1,4,22,22,8,33,6,8,20,0
night,planner,skip,10081,0,1,2,18,22,3,3,0,3,20,0
night,planner,skip,10081,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10081,2,1,3,21,22,8,15,0,6,20,0
night,planner,skip,10081,3,1,4,17,22,10,23,0,8,20,0
night,planner,skip,10081,4,1,5,15,22,8,37,6,9,20,0
night,planner,skip,10082,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10082,1,1,2,15,22,6,6,0,4,20,0
night,planner,skip,10082,2,1,4,17,22,7,18,0,7,20,0
night,planner,skip,10082,3,1,4,16,22,7,25,0,8,20,0
night,planner,skip,10082,4,1,4,22,22,12,31,10,8,20,0
night,planner,skip,10083,0,1,2,20,22,0,2,0,3,20,0
night,planner,skip,10083,1,1,2,22,22,4,6,0,4,20,0
night,planner,skip,10083,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10083,3,1,4,13,22,9,18,0,8,20,0
night,planner,skip,10083,4,1,4,19,22,13,27,12,8,20,0
